Run,Mean,Stdev
318,0.517,0.497
319,0.412,0.692
320,0.379,0.518
321,0.807,0.504
322,0.913,0.664
323,0.445,0.353
324,0.909,0.458
325,0.539,0.587
326,0.692,0.502
327,0.362,0.834
328,0.639,0.434
329,0.988,0.713
330,0.805,0.444
331,0.724,0.862
332,0.515,0.7
333,0.544,0.811
334,0.559,0.427
335,0.493,0.672
336,0.733,0.416
337,0.943,0.522
338,0.439,0.565
339,0.772,0.693
340,0.565,0.454
341,0.833,0.514
342,1.028,0.436
343,0.84,0.554
344,0.618,0.549
345,0.792,0.755
346,0.585,0.442
347,0.712,0.646
348,0.43,0.446
349,0.291,0.573
350,1.012,0.507
351,0.592,0.442
352,0.719,0.412
353,0.742,0.74
354,1.045,0.667
355,0.498,0.481
356,0.988,0.692
357,0.82,0.427
358,0.926,0.607
359,0.575,0.414
360,0.516,0.552
361,0.199,0.481
362,1.022,0.511
363,0.484,0.521
364,0.705,0.672
365,0.628,0.686
366,0.839,0.471
367,0.512,0.475
368,0.957,0.554
369,0.95,0.555
370,0.847,0.636
371,1.118,0.519
372,0.526,1.03
373,0.889,0.65
374,1.163,0.75
375,0.303,0.649
376,0.458,0.494
377,1.112,0.532
378,1.012,0.496
379,0.843,0.461
380,0.911,0.555
381,0.335,0.62
382,0.738,0.506
383,0.748,0.36
384,0.4,0.432
385,0.6,0.484
386,0.691,0.423
387,0.691,0.468
388,0.645,0.604
389,0.828,0.506
390,0.422,0.539
391,0.526,0.496
392,1.004,0.469
393,0.818,0.568
394,0.707,0.716
395,0.872,0.933
396,0.912,0.854
397,0.894,0.598
398,0.502,0.513
399,1.201,0.653
400,0.599,0.381
401,0.581,0.716
402,0.639,0.544
403,0.997,0.384
404,0.623,0.387
405,0.601,0.602
406,0.916,0.542
407,0.802,0.508
408,0.826,0.467
409,1.157,0.571
410,0.852,0.5
411,0.937,0.426
412,0.626,0.719
413,0.664,0.825
414,0.758,0.533
415,0.838,0.615
416,0.966,0.499
417,0.506,0.6
418,1.027,0.522
419,0.411,0.461
420,0.665,0.618
421,0.628,0.566
422,0.921,0.629
423,0.517,0.764
424,0.712,0.705
425,0.772,0.447
426,0.676,1.026
427,0.916,0.617
428,0.694,0.74
429,0.643,0.708
430,0.715,0.754
431,1.043,0.661
432,0.745,0.466
433,0.908,0.504
434,0.459,0.564
435,1.066,0.732
436,0.733,0.48
437,0.588,0.387
438,0.619,0.615
439,0.737,0.566
440,0.944,0.564
441,0.876,0.477
442,0.61,0.525
443,0.913,0.666
444,0.707,0.576
445,0.809,0.684
446,1.235,0.693
447,0.61,0.759
448,0.881,0.457
449,0.551,0.725
450,0.652,0.643
451,0.775,0.463
452,0.558,0.634
453,0.754,0.459
454,1.009,0.469
455,0.751,0.642
456,0.413,0.617
457,0.665,0.463
458,0.798,0.657
459,1.132,0.675
460,0.562,0.686
461,0.492,0.383
462,0.628,0.606
463,0.957,0.56
464,1.094,0.513
465,0.601,0.518
466,0.722,0.588
467,0.867,0.501
468,0.86,0.637
469,0.873,0.499
470,0.767,0.481
471,0.758,0.574
472,0.768,0.544
473,0.642,0.576
474,1.105,0.64
475,0.268,0.73
476,0.355,0.454
477,0.912,0.507
478,0.703,0.631
479,0.789,0.453
480,0.643,0.669
481,0.713,0.755
482,0.609,0.753
483,0.405,0.617
484,0.558,0.497
485,0.598,0.397
486,0.749,0.554
487,0.535,0.548
488,0.652,0.628
489,0.358,0.677
490,0.719,0.687
491,0.699,0.623
492,0.942,0.436
493,0.472,0.678
494,0.567,0.404
495,0.317,0.683
496,0.614,0.574
497,0.97,0.473
498,0.63,0.503
499,0.785,0.505
-1,0.674,0.526
