Run,Mean,Stdev
318,2.776,2.984
319,2.24,2.351
320,1.815,1.796
321,2.585,2.495
322,2.331,1.71
323,2.371,2.552
324,2.837,2.2
325,1.508,1.314
326,2.073,2.111
327,3.227,3.379
328,2.585,2.215
329,3.084,2.683
330,2.51,1.847
331,2.303,2.097
332,3.37,3.557
333,2.585,2.411
334,2.673,2.294
335,1.815,1.945
336,2.963,2.465
337,2.733,1.936
338,1.755,1.641
339,1.566,1.296
340,2.669,2.497
341,2.541,2.409
342,2.428,1.878
343,3.431,3.093
344,2.134,1.824
345,2.399,1.949
346,2.058,1.753
347,2.648,2.257
348,2.27,2.51
349,2.717,2.951
350,2.786,2.198
351,2.243,2.121
352,2.52,2.254
353,2.605,2.362
354,3.322,3.022
355,2.494,2.761
356,2.973,2.537
357,2.362,2.003
358,2.481,1.594
359,1.865,1.943
360,2.481,2.586
361,3.121,2.906
362,2.809,2.249
363,2.173,2.149
364,2.731,2.806
365,1.644,1.195
366,2.141,1.533
367,3.069,3.065
368,3.368,2.869
369,2.263,2.214
370,2.804,2.521
371,2.479,2.123
372,2.595,2.12
373,2.835,2.764
374,3.477,2.666
375,3.202,3.225
376,2.101,2.163
377,2.235,1.529
378,2.723,2.168
379,2.204,1.743
380,2.472,1.79
381,1.882,1.847
382,1.471,1.313
383,2.796,2.345
384,2.744,2.508
385,2.059,2.001
386,1.503,0.978
387,2.546,2.392
388,1.867,1.662
389,1.996,2.001
390,2.902,2.564
391,3.202,3.458
392,2.396,1.733
393,1.824,1.459
394,2.206,1.877
395,2.586,2.315
396,2.809,2.372
397,2.315,1.641
398,1.405,1.213
399,2.614,1.782
400,2.004,1.554
401,2.536,2.417
402,2.711,2.874
403,3.172,2.674
404,2.274,2.065
405,2.335,2.103
406,3.44,3.012
407,3.122,2.684
408,2.208,1.881
409,2.592,2.071
410,2.152,1.709
411,2.048,1.203
412,1.403,1.412
413,1.925,1.801
414,2.316,2.135
415,3.206,2.959
416,3.082,2.369
417,2.258,2.459
418,2.448,1.791
419,1.856,1.647
420,2.058,1.894
421,2.625,2.503
422,2.255,1.991
423,2.455,2.595
424,2.117,1.638
425,2.744,2.17
426,1.781,1.438
427,2.129,1.532
428,2.515,2.327
429,2.354,2.147
430,2.757,2.909
431,2.598,1.809
432,3.321,2.881
433,2.237,1.66
434,2.358,2.107
435,2.755,2.22
436,2.452,2.009
437,1.62,1.541
438,2.375,2.126
439,2.663,2.416
440,2.743,2.245
441,2.164,1.877
442,2.479,2.11
443,1.858,1.344
444,2.088,1.966
445,2.823,2.337
446,2.972,2.19
447,2.172,1.87
448,2.101,1.412
449,2.911,3.052
450,2.244,2.333
