Run,Mean,Stdev
318,1.542,2.403
319,1.183,1.936
320,1.024,1.471
321,1.448,2.063
322,1.49,1.497
323,1.252,2.089
324,1.811,1.881
325,0.918,1.093
326,1.141,1.73
327,1.626,2.82
328,1.592,1.856
329,1.808,2.268
330,1.628,1.61
331,1.323,1.761
332,1.771,2.928
333,1.486,1.997
334,1.674,1.924
335,0.965,1.601
336,1.72,2.106
337,1.797,1.706
338,0.959,1.396
339,0.944,1.12
340,1.506,2.078
341,1.512,1.974
342,1.704,1.576
343,2.1,2.548
344,1.308,1.521
345,1.405,1.683
346,1.282,1.464
347,1.6,1.912
348,1.222,2.03
349,1.407,2.43
350,1.829,1.839
351,1.316,1.752
352,1.538,1.855
353,1.423,2.009
354,1.966,2.499
355,1.372,2.223
356,1.914,2.112
357,1.408,1.681
358,1.69,1.479
359,1.068,1.589
360,1.409,2.101
361,1.6,2.53
362,1.87,1.885
363,1.127,1.813
364,1.585,2.27
365,1.07,1.06
366,1.513,1.348
367,1.71,2.519
368,2.027,2.416
369,1.433,1.769
370,1.707,2.082
371,1.574,1.755
372,1.273,1.915
373,1.582,2.278
374,2.231,2.282
375,1.63,2.734
376,1.083,1.81
377,1.496,1.338
378,1.797,1.828
379,1.386,1.49
380,1.626,1.565
381,0.971,1.581
382,0.868,1.109
383,1.732,1.965
384,1.557,2.107
385,1.147,1.664
386,1.023,0.88
387,1.561,1.939
388,1.107,1.404
389,1.165,1.619
390,1.583,2.203
391,1.658,2.831
392,1.684,1.505
393,1.184,1.229
394,1.261,1.616
395,1.629,1.915
396,1.822,2.0
397,1.447,1.459
398,0.776,1.055
399,1.729,1.57
400,1.23,1.322
401,1.42,2.028
402,1.537,2.323
403,2.028,2.232
404,1.476,1.682
405,1.332,1.789
406,2.066,2.512
407,1.793,2.29
408,1.336,1.571
409,1.736,1.732
410,1.462,1.461
411,1.461,1.122
412,0.776,1.182
413,1.091,1.524
414,1.314,1.835
415,1.868,2.465
416,1.925,2.032
417,1.223,1.994
418,1.692,1.549
419,0.992,1.434
420,1.251,1.56
421,1.442,2.098
422,1.401,1.647
423,1.3,2.137
424,1.359,1.417
425,1.772,1.858
426,1.098,1.231
427,1.471,1.341
428,1.42,1.951
429,1.369,1.815
430,1.465,2.387
431,1.726,1.586
432,2.08,2.398
433,1.386,1.427
434,1.36,1.769
435,1.851,1.876
436,1.51,1.702
437,0.901,1.283
438,1.336,1.808
439,1.515,2.029
440,1.781,1.877
441,1.422,1.562
442,1.418,1.811
443,1.158,1.173
444,1.152,1.676
445,1.705,1.988
446,1.976,1.901
447,1.218,1.61
448,1.513,1.287
449,1.698,2.453
450,1.234,1.915
451,2.055,2.492
452,1.014,1.424
453,1.671,1.992
454,1.61,1.644
455,1.478,1.637
456,1.831,2.638
457,1.164,1.214
458,1.557,1.45
459,1.944,2.233
460,1.152,1.833
461,1.525,1.791
462,1.04,1.508
463,1.668,1.456
464,2.14,2.409
465,1.308,2.206
466,1.509,2.1
467,1.714,2.149
468,1.773,1.953
469,1.615,1.595
470,1.629,1.834
471,1.31,1.497
472,1.577,1.916
473,1.274,2.102
474,1.716,1.638
475,1.392,2.151
476,0.796,1.096
477,1.881,1.68
478,1.444,1.69
479,1.471,1.477
480,1.383,2.084
481,1.175,1.807
482,1.461,2.069
483,1.331,2.141
484,1.317,1.599
485,1.479,1.929
486,1.749,2.615
487,1.878,2.818
488,1.288,1.383
489,1.092,1.767
490,1.588,2.196
491,1.376,2.13
492,1.6,1.306
493,1.69,2.901
494,1.186,1.811
495,1.595,2.422
496,1.039,1.027
497,1.568,1.424
498,1.544,1.756
499,1.634,1.774
-1,1.354,1.317
