Run,Mean,Stdev
318,1.665,2.468
319,1.286,2.038
320,1.086,1.505
321,1.642,2.184
322,1.705,1.587
323,1.381,2.187
324,2.005,1.907
325,1.026,1.166
326,1.22,1.723
327,1.723,2.916
328,1.766,1.938
329,2.05,2.393
330,1.809,1.64
331,1.464,1.858
332,1.909,3.064
333,1.576,2.061
334,1.819,1.957
335,1.105,1.73
336,1.832,2.096
337,2.0,1.735
338,1.086,1.492
339,1.12,1.225
340,1.609,2.1
341,1.717,2.077
342,1.888,1.525
343,2.294,2.666
344,1.419,1.554
345,1.546,1.721
346,1.374,1.423
347,1.756,1.969
348,1.345,2.136
349,1.56,2.624
350,2.03,1.889
351,1.447,1.801
352,1.665,1.899
353,1.593,2.12
354,2.131,2.523
355,1.524,2.346
356,2.118,2.14
357,1.552,1.704
358,1.864,1.43
359,1.228,1.693
360,1.59,2.262
361,1.625,2.621
362,2.059,1.86
363,1.229,1.835
364,1.7,2.305
365,1.184,1.093
366,1.689,1.315
367,1.842,2.603
368,2.244,2.498
369,1.606,1.791
370,1.897,2.178
371,1.817,1.836
372,1.316,2.03
373,1.739,2.339
374,2.42,2.276
375,1.726,2.874
376,1.218,1.894
377,1.711,1.386
378,2.044,1.874
379,1.58,1.562
380,1.794,1.541
381,0.968,1.584
382,1.036,1.168
383,1.922,2.067
384,1.664,2.185
385,1.274,1.75
386,1.143,0.888
387,1.678,1.955
388,1.267,1.507
389,1.353,1.702
390,1.675,2.294
391,1.793,2.924
392,1.934,1.548
393,1.362,1.312
394,1.448,1.767
395,1.855,2.04
396,2.093,2.172
397,1.635,1.531
398,0.894,1.11
399,1.975,1.63
400,1.328,1.329
401,1.584,2.17
402,1.726,2.487
403,2.18,2.165
404,1.597,1.694
405,1.519,1.921
406,2.28,2.641
407,1.979,2.385
408,1.496,1.572
409,1.951,1.753
410,1.64,1.436
411,1.656,1.1
412,0.878,1.211
413,1.258,1.66
414,1.479,1.923
415,2.1,2.624
416,2.098,2.061
417,1.381,2.129
418,1.914,1.538
419,1.069,1.472
420,1.44,1.704
421,1.601,2.209
422,1.559,1.689
423,1.443,2.27
424,1.49,1.426
425,1.93,1.87
426,1.212,1.346
427,1.602,1.287
428,1.56,2.063
429,1.586,2.025
430,1.58,2.425
431,1.995,1.721
432,2.226,2.402
433,1.505,1.382
434,1.454,1.832
435,2.099,1.97
436,1.624,1.714
437,1.004,1.288
438,1.478,1.886
439,1.634,2.057
440,1.964,1.902
441,1.606,1.55
442,1.586,1.934
443,1.305,1.211
444,1.354,1.805
445,1.867,2.072
446,2.173,1.848
447,1.297,1.653
448,1.671,1.164
449,1.864,2.606
450,1.403,2.058
451,2.239,2.523
452,1.169,1.551
453,1.833,2.082
454,1.773,1.616
455,1.586,1.654
456,1.972,2.784
457,1.273,1.255
458,1.737,1.474
459,2.065,2.216
460,1.285,1.9
461,1.636,1.847
462,1.179,1.565
463,1.796,1.37
464,2.312,2.352
465,1.386,2.209
466,1.652,2.195
467,1.865,2.17
468,1.971,2.007
469,1.788,1.643
470,1.747,1.824
471,1.534,1.683
472,1.721,1.934
473,1.399,2.174
474,1.934,1.685
475,1.562,2.327
476,0.852,1.116
477,2.03,1.617
478,1.619,1.798
479,1.633,1.485
480,1.51,2.137
481,1.38,1.967
482,1.624,2.187
483,1.306,2.167
484,1.427,1.638
485,1.657,2.044
486,1.924,2.703
487,2.0,2.884
488,1.432,1.42
489,1.211,1.895
490,1.742,2.262
491,1.538,2.209
492,1.815,1.234
493,1.647,2.908
494,1.317,1.851
495,1.64,2.554
496,1.166,1.042
497,1.721,1.407
498,1.698,1.828
499,1.761,1.763
-1,1.569,1.453
