Run,Mean,Stdev
318,0.532,0.459
319,0.274,0.497
320,0.353,0.345
321,0.588,0.457
322,0.917,0.576
323,0.333,0.39
324,1.071,0.439
325,0.511,0.449
326,0.398,0.305
327,0.207,0.504
328,0.785,0.363
329,0.854,0.558
330,0.954,0.451
331,0.575,0.573
332,0.426,0.628
333,0.564,0.531
334,0.871,0.437
335,0.261,0.478
336,0.74,0.368
337,1.115,0.39
338,0.31,0.532
339,0.534,0.518
340,0.537,0.31
341,0.776,0.535
342,1.215,0.359
343,1.039,0.519
344,0.661,0.391
345,0.631,0.392
346,0.67,0.313
347,0.765,0.425
348,0.361,0.435
349,0.255,0.563
350,1.156,0.444
351,0.612,0.484
352,0.756,0.369
353,0.475,0.427
354,0.927,0.406
355,0.434,0.459
356,1.145,0.566
357,0.7,0.354
358,1.124,0.456
359,0.468,0.477
360,0.528,0.527
361,0.211,0.583
362,1.216,0.465
363,0.282,0.437
364,0.668,0.455
365,0.668,0.496
366,1.102,0.388
367,0.555,0.476
368,0.963,0.437
369,0.874,0.493
370,0.842,0.387
371,0.988,0.509
372,0.225,0.56
373,0.625,0.458
374,1.325,0.541
375,0.249,0.724
376,0.232,0.443
377,1.059,0.458
378,1.175,0.494
379,0.832,0.469
380,1.048,0.477
381,0.168,0.42
382,0.48,0.46
383,0.906,0.435
384,0.539,0.413
385,0.44,0.462
386,0.735,0.469
387,0.792,0.44
388,0.548,0.485
389,0.588,0.442
390,0.41,0.395
391,0.365,0.49
392,1.271,0.572
393,0.73,0.451
394,0.541,0.487
395,0.942,0.596
396,1.06,0.658
397,0.862,0.482
398,0.316,0.445
399,1.162,0.458
400,0.65,0.357
401,0.508,0.601
402,0.607,0.57
403,1.188,0.48
404,0.851,0.334
405,0.515,0.449
406,0.954,0.382
407,0.75,0.486
408,0.729,0.467
409,1.209,0.501
410,1.019,0.505
411,1.12,0.442
412,0.324,0.423
413,0.469,0.627
414,0.51,0.54
415,0.818,0.588
416,1.063,0.538
417,0.354,0.494
418,1.215,0.435
419,0.276,0.367
420,0.66,0.588
421,0.474,0.497
422,0.793,0.387
423,0.315,0.51
424,0.794,0.377
425,1.005,0.411
426,0.565,0.561
427,0.999,0.395
428,0.544,0.534
429,0.581,0.654
430,0.391,0.43
431,1.161,0.543
432,1.048,0.362
433,0.785,0.371
434,0.524,0.379
435,1.257,0.649
436,0.749,0.344
437,0.385,0.389
438,0.516,0.547
439,0.632,0.516
440,1.121,0.538
441,0.906,0.348
442,0.572,0.45
443,0.744,0.506
444,0.471,0.627
445,0.802,0.416
446,1.305,0.493
447,0.428,0.39
448,1.118,0.377
449,0.691,0.57
450,0.43,0.549
451,1.047,0.333
452,0.394,0.56
453,0.784,0.469
454,0.987,0.417
455,0.767,0.436
456,0.487,0.564
457,0.681,0.418
458,0.981,0.414
459,1.033,0.379
460,0.411,0.499
461,0.644,0.373
462,0.396,0.535
463,1.203,0.392
464,1.176,0.331
465,0.37,0.438
466,0.548,0.462
467,0.798,0.412
468,1.084,0.595
469,0.979,0.424
470,0.855,0.333
471,0.738,0.575
472,0.781,0.395
473,0.35,0.374
474,1.117,0.429
475,0.23,0.641
476,0.279,0.492
477,1.219,0.387
478,0.731,0.464
479,0.86,0.506
480,0.496,0.396
481,0.466,0.618
482,0.479,0.519
483,0.202,0.477
484,0.619,0.35
485,0.654,0.395
486,0.6,0.398
487,0.651,0.453
488,0.798,0.473
489,0.344,0.509
490,0.554,0.422
491,0.521,0.367
492,1.186,0.423
493,0.231,0.48
494,0.369,0.354
495,0.221,0.686
496,0.674,0.441
497,1.094,0.478
498,0.779,0.391
499,0.89,0.309
-1,0.768,0.517
