Run,Mean,Stdev
318,1.841,2.819
319,1.754,2.698
320,1.411,2.129
321,2.044,2.482
322,1.978,2.139
323,1.515,2.188
324,2.049,2.294
325,1.353,1.768
326,1.774,2.243
327,2.281,3.782
328,1.835,2.329
329,2.461,2.958
330,1.824,1.924
331,1.94,2.583
332,2.149,3.38
333,1.997,3.014
334,1.68,2.25
335,1.543,2.212
336,2.091,2.593
337,2.096,2.221
338,1.44,1.928
339,1.578,1.676
340,1.838,2.517
341,1.954,2.361
342,1.995,2.035
343,2.25,2.962
344,1.773,2.332
345,2.187,2.716
346,1.593,2.027
347,1.944,2.461
348,1.477,2.255
349,1.694,2.805
350,2.149,2.403
351,1.564,2.049
352,1.805,2.212
353,2.285,2.941
354,2.664,3.338
355,1.712,2.551
356,2.313,2.851
357,1.84,2.044
358,2.028,2.107
359,1.389,1.786
360,1.755,2.553
361,1.571,2.596
362,2.124,2.309
363,1.694,2.281
364,2.131,3.13
365,1.463,1.735
366,1.721,1.844
367,1.963,2.917
368,2.461,2.908
369,1.947,2.299
370,2.214,2.808
371,2.064,2.007
372,2.165,3.005
373,2.249,2.849
374,2.823,3.395
375,1.833,3.012
376,1.488,1.983
377,1.944,1.735
378,2.094,2.189
379,1.782,1.874
380,2.041,2.244
381,1.445,2.221
382,1.435,1.45
383,1.811,2.122
384,1.664,2.436
385,1.52,1.918
386,1.331,1.196
387,1.77,2.309
388,1.515,1.826
389,1.694,1.869
390,1.895,2.729
391,2.084,3.142
392,1.712,1.596
393,1.673,1.7
394,1.936,2.375
395,2.258,2.982
396,2.298,2.861
397,1.845,1.87
398,1.255,1.476
399,2.29,2.2
400,1.443,1.661
401,1.85,2.621
402,1.832,2.613
403,2.189,2.523
404,1.633,2.177
405,1.861,2.397
406,2.604,3.285
407,2.167,2.647
408,1.751,1.88
409,2.131,2.139
410,1.583,1.591
411,1.6,1.325
412,1.551,1.964
413,1.772,2.33
414,1.854,2.152
415,2.21,2.818
416,2.256,2.486
417,1.754,2.529
418,1.991,2.06
419,1.381,1.827
420,1.642,1.999
421,1.916,2.504
422,2.044,2.365
