Run,Mean,Stdev
318,0.388,0.298
319,0.196,0.275
320,0.284,0.2
321,0.391,0.333
322,0.703,0.567
323,0.206,0.304
324,0.851,0.646
325,0.366,0.247
326,0.269,0.216
327,0.131,0.307
328,0.662,0.541
329,0.615,0.527
330,0.801,0.636
331,0.407,0.382
332,0.279,0.4
333,0.459,0.32
334,0.739,0.661
335,0.17,0.336
336,0.559,0.334
337,0.919,0.728
338,0.213,0.312
339,0.36,0.379
340,0.418,0.288
341,0.548,0.438
342,1.024,0.733
343,0.855,0.647
344,0.534,0.351
345,0.47,0.352
346,0.556,0.431
347,0.62,0.569
348,0.243,0.331
349,0.184,0.438
350,0.934,0.61
351,0.447,0.395
352,0.625,0.436
353,0.321,0.288
354,0.697,0.46
355,0.321,0.391
356,0.923,0.766
357,0.514,0.259
358,0.948,0.843
359,0.32,0.438
360,0.406,0.458
361,0.151,0.411
362,0.991,0.741
363,0.148,0.221
364,0.512,0.471
365,0.532,0.477
366,0.925,0.771
367,0.439,0.397
368,0.772,0.589
369,0.655,0.465
370,0.679,0.519
371,0.726,0.5
372,0.145,0.444
373,0.411,0.259
374,1.066,0.789
375,0.167,0.569
376,0.132,0.302
377,0.803,0.526
378,0.931,0.723
379,0.619,0.477
380,0.832,0.656
381,0.102,0.298
382,0.302,0.312
383,0.737,0.528
384,0.446,0.394
385,0.293,0.314
386,0.572,0.408
387,0.647,0.453
388,0.393,0.41
389,0.387,0.277
390,0.348,0.294
391,0.227,0.325
392,1.014,0.797
393,0.585,0.426
394,0.378,0.377
395,0.73,0.64
396,0.891,0.828
397,0.635,0.482
398,0.188,0.241
399,0.9,0.613
400,0.511,0.228
401,0.376,0.487
402,0.438,0.471
403,0.958,0.764
404,0.726,0.561
405,0.393,0.479
406,0.78,0.558
407,0.551,0.464
408,0.521,0.307
409,0.934,0.677
410,0.815,0.726
411,0.91,0.664
412,0.186,0.325
413,0.311,0.445
414,0.312,0.407
415,0.616,0.574
416,0.843,0.567
417,0.257,0.333
418,0.983,0.775
419,0.184,0.296
420,0.495,0.416
421,0.336,0.364
422,0.6,0.454
423,0.222,0.362
424,0.649,0.574
425,0.86,0.742
426,0.459,0.382
427,0.854,0.699
428,0.396,0.369
429,0.448,0.551
430,0.259,0.32
431,0.91,0.648
432,0.921,0.769
433,0.59,0.234
434,0.427,0.319
435,1.005,0.848
436,0.628,0.473
437,0.228,0.154
438,0.362,0.373
439,0.442,0.34
440,0.881,0.656
441,0.726,0.651
442,0.424,0.377
443,0.504,0.293
444,0.276,0.477
445,0.659,0.524
446,1.043,0.84
447,0.326,0.302
448,0.96,0.839
449,0.564,0.531
450,0.29,0.405
451,0.887,0.786
452,0.265,0.447
453,0.629,0.456
454,0.748,0.521
455,0.637,0.519
456,0.399,0.486
457,0.537,0.291
458,0.811,0.672
459,0.809,0.46
460,0.264,0.29
461,0.55,0.466
462,0.222,0.32
463,1.025,0.764
464,0.96,0.756
465,0.229,0.273
466,0.388,0.323
467,0.609,0.471
468,0.886,0.771
469,0.784,0.534
470,0.709,0.542
471,0.576,0.49
472,0.603,0.46
473,0.234,0.285
474,0.887,0.594
475,0.137,0.423
476,0.168,0.233
477,1.038,0.801
478,0.589,0.532
479,0.677,0.5
480,0.361,0.309
481,0.279,0.422
482,0.353,0.468
483,0.131,0.355
484,0.506,0.385
485,0.534,0.447
486,0.445,0.377
487,0.523,0.384
488,0.652,0.606
489,0.273,0.356
490,0.41,0.388
491,0.379,0.33
492,0.977,0.835
493,0.146,0.373
494,0.211,0.241
495,0.143,0.472
496,0.549,0.569
497,0.859,0.528
498,0.645,0.557
499,0.765,0.573
-1,0.613,0.541
